ID,Пол,Возраст,Родной язык,Язык интерфейс,Владение KZ,Владение RU,Владение EN,Регион/ Область,Населённый пункт,Миграционный статус,ПМЖ,Локация внутренней миграции,Прописка,Гражданство/проживание,Этап жизни,Триггер/привычка
255,Ж,25,оба,ru,высокий,высокий,высокий,центр,город,внутренний мигрант,Астана,"Караганда, Астана",нет,гражданин,работающий,Высокие ожидания родителей-академиков → перфекционизм и страх неудачи → трудоголизм и карьерные амбиции
256,М,16,kk,kk,высокий,базовый,базовый,запад,аул,постоянное место жительства,аул возле Атырау,,есть,гражданин,школьник,С ранних лет помогал отцу с хозяйством → практичный взгляд на жизнь → планирует развивать семейный агробизнес
257,Ж,32,ru,ru,средний,высокий,средний,юг,город,постоянное место жительства,Алматы,,есть,гражданин,безработный,Тяжёлый развод и предательство мужа → проблемы с доверием к мужчинам → избегание серьёзных отношений
258,М,20,ru,ru,базовый,высокий,базовый,восток,райцентр,постоянное место жительства,Семей,,есть,гражданин,студент,"Отец-дальнобойщик, всё детство в гараже → любовь к технике → выбрал специальность автомеханика"
259,Ж,50,ru,ru,высокий,высокий,высокий,юг,город,постоянное место жительства,Алматы,,есть,гражданин,работающий,"Бедное детство в 90-е → сильная мотивация вырваться из нищеты → построила успешный бизнес с нуля, требовательна к себе и подчиненным"
260,М,29,ru,ru,базовый,высокий,средний,север,город,постоянное место жительства,Петропавловск,,нет,гражданин,работающий,"Нашёл старую гитару на чердаке в детстве → музыка стала способом убежать от семейных конфликтов → посвятил жизнь творчеству, несмотря на финансовые трудности"
261,Ж,38,ru,ru,средний,высокий,средний,восток,город,постоянное место жительства,Усть-Каменогорск,,есть,гражданин,работающий,"Болезненность в детстве и ипохондрия матери → выбор профессии врача, чтобы получить контроль над своим здоровьем и здоровьем близких, постоянная самодиагностика"
262,М,23,kk,kk,высокий,базовый,базовый,запад,аул,внутренний мигрант,Атырау,"Атырау, Тенгиз",есть,гражданин,работающий,"Отец работал вахтовым методом → в детстве идеализировал эту 'романтику' и большие заработки → выбрал тот же путь, не видя минусов в виде отсутствия дома"
263,Ж,29,оба,ru,высокий,высокий,высокий,юг,город,постоянное место жительства,Алматы,,нет,гражданин,работающий,"Единственный ребенок в семье интеллектуалов → с детства привыкла к похвале за ум → панически боится показаться глупой, избегает тем, в которых не разбирается"
264,М,42,kk,ru,высокий,средний,базовый,центр,райцентр,постоянное место жительства,Жезказган,,есть,гражданин,работающий,"Рано потерял отца → стал главным мужчиной в семье → гиперответственность, не умеет просить о помощи, всё 'тащит' на себе"
265,Ж,19,ru,ru,базовый,высокий,средний,север,город,постоянное место жительства,Костанай,,есть,гражданин,студент,Родители всегда сравнивали её со старшей сестрой → вечная 'вторая' → стремится выделиться через эпатажный внешний вид и хобби
266,М,33,ru,ru,средний,высокий,базовый,юг,город,внешний мигрант,Алматы,,нет,ПМЖ,работающий,"Переехал в Казахстан в подростковом возрасте → столкнулся с трудностями адаптации → развил эмпатию и хорошо понимает 'чужаков', всегда готов помочь новым репатриантам"
267,Ж,58,kk,kk,высокий,базовый,базовый,юг,аул,постоянное место жительства,аул возле Шымкента,,есть,гражданин,пенсионер,"Всю жизнь посвятила семье и детям, отказавшись от карьеры → после того как дети выросли и уехали, почувствовала пустоту → находит смысл в ведении домашнего хозяйства и помощи соседям"
268,М,26,ru,ru,базовый,высокий,высокий,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Отец-военный, строгое воспитание → привычка к дисциплине и порядку → трудности с креативностью и гибкостью, предпочитает чёткие инструкции"
269,Ж,31,kk,kk,высокий,средний,базовый,запад,город,постоянное место жительства,Актау,,есть,гражданин,декрет,"Выросла в атмосфере вседозволенности → не привыкла к отказам → манипулирует мужем и родителями для получения желаемого, частые обиды"
270,М,50,оба,ru,высокий,высокий,базовый,восток,город,постоянное место жительства,Семей,,есть,гражданин,безработный,"Пережил распад СССР и закрытие завода, где работал → потеря веры в стабильность → не ищет постоянную работу, перебивается случайными заработками, фатализм"
271,Ж,24,ru,ru,средний,высокий,высокий,юг,город,внутренний мигрант,Алматы,"Алматы, Шымкент",нет,гражданин,студент,"Красивая внешность с детства была 'капиталом' → привычка получать желаемое за счёт обаяния, а не усилий → не развивает профессиональные навыки, надеясь на удачное замужество"
272,М,17,kk,kk,высокий,базовый,средний,центр,город,постоянное место жительства,Караганда,,есть,гражданин,школьник,"Увлёкся киберспортом → нашёл в виртуальном мире успех и признание, которых не хватало в школе → планирует стать профессиональным игроком вопреки воле родителей"
273,Ж,45,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,работающий,"Тяжелая работа матери на нескольких работах → с детства усвоила, что 'отдых нужно заслужить' → не может расслабиться без чувства вины, даже в отпуске ищет 'полезные' дела"
274,М,36,kk,ru,высокий,высокий,базовый,юг,город,постоянное место жительства,Кызылорда,,есть,гражданин,работающий,"Вырос в регионе с сильными традициями → уважение к старшим и соблюдение ритуалов → трудности с адаптацией в более современной среде, осуждение 'неправильного' поведения"
275,Ж,21,ru,ru,средний,высокий,средний,восток,райцентр,постоянное место жительства,Риддер,,нет,гражданин,студент,Маленький город с отсутствием перспектив → мечта о переезде в мегаполис как главная цель → идеализация большой городской жизни и обесценивание своей 'малой родины'
276,Ж,34,ru,ru,базовый,высокий,средний,центр,райцентр,постоянное место жительства,Темиртау,,есть,гражданин,работающий,"Отец-шахтёр, постоянная тревога за его жизнь → выработала гиперответственность и привычку всё контролировать, чтобы избежать 'неожиданностей'"
277,М,48,kk,kk,высокий,средний,базовый,юг,аул,постоянное место жительства,аул возле Туркестана,,есть,гражданин,работающий,"Старший сын в семье, с детства помогал отцу → привычка брать на себя всю тяжелую работу → игнорирование собственных потребностей и усталости"
278,Ж,26,оба,ru,высокий,высокий,высокий,юг,город,постоянное место жительства,Алматы,,нет,гражданин,работающий,"Родители-дипломаты, детство в разных странах → легко адаптируется к любой среде, но нигде не чувствует себя 'дома' → поверхностные социальные связи"
279,М,63,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,пенсионер,"Потеря сбережений в 90-е → глубокое недоверие к финансовым институтам и банкам → хранит деньги 'под матрасом', боится инвестировать"
280,Ж,20,kk,kk,высокий,базовый,средний,запад,город,постоянное место жительства,Атырау,,есть,гражданин,студент,"Отец-нефтяник, избалованная 'папина дочка' → привычка получать всё по первому требованию → нетерпимость к отказам и трудностям"
281,М,39,ru,ru,средний,высокий,базовый,восток,город,внутренний мигрант,Усть-Каменогорск,"Усть-Каменогорск, Алматы",есть,гражданин,работающий,"Пережил клиническую смерть в юности → переоценка ценностей, живёт 'одним днём' → склонность к риску и импульсивным решениям"
282,Ж,41,kk,ru,высокий,высокий,базовый,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Мать-учительница, высокие требования к учёбе → перфекционизм и 'синдром самозванца' → обесценивает собственные достижения, боится критики"
283,М,28,ru,ru,базовый,высокий,средний,юг,город,номад (не резидент РК),,,нет,временно,безработный,"Увлёкся идеями дауншифтинга → отказ от карьеры и материальных благ → путешествует по Азии, перебиваясь случайными заработками"
284,Ж,55,ru,ru,средний,высокий,базовый,восток,город,постоянное место жительства,Семей,,есть,гражданин,работающий,"Развод в зрелом возрасте после 30 лет брака → страх одиночества → судорожно ищет новые отношения, чтобы заполнить пустоту"
285,М,31,kk,kk,высокий,базовый,базовый,юг,аул,внутренний мигрант,Шымкент,"Шымкент, аул",есть,гражданин,работающий,"В детстве был свидетелем несправедливости по отношению к его семье → обострённое чувство справедливости → стал юристом, чтобы защищать 'простых людей'"
286,Ж,18,ru,ru,средний,высокий,высокий,юг,город,постоянное место жительства,Алматы,,есть,гражданин,студент,Гиперопека после попытки похищения в детстве → социальная тревожность и страх перед незнакомыми людьми → предпочитает онлайн-общение реальному
287,М,44,оба,ru,высокий,высокий,базовый,центр,город,постоянное место жительства,Караганда,,есть,гражданин,работающий,Отец привил любовь к чтению и истории → стал 'ходячей энциклопедией' → использует эрудицию для самоутверждения и доминирования в спорах
288,Ж,22,kk,kk,высокий,средний,базовый,запад,райцентр,постоянное место жительства,Кульсары,,нет,гражданин,студент,"Выросла в строгой, религиозной семье → внутренний конфликт между желаниями и запретами → ведёт 'двойную жизнь', скрывая от родных свои увлечения"
289,М,37,ru,ru,базовый,высокий,средний,север,город,постоянное место жительства,Кокшетау,,есть,гражданин,работающий,"С детства заикался → стал объектом насмешек → развил отличное чувство юмора как защитный механизм, самоирония"
290,Ж,30,ru,ru,средний,высокий,высокий,юг,город,внешний мигрант,Алматы,,нет,ПМЖ,декрет,"Переехала вслед за мужем-экспатом → потеряла свой круг общения и работу → кризис идентичности, чувство зависимости от мужа"
291,М,52,kk,ru,высокий,высокий,базовый,юг,город,постоянное место жительства,Тараз,,есть,гражданин,работающий,В 90-е занимался 'челночным' бизнесом → привычка к риску и умение 'договариваться' → успешный предприниматель с хорошими связями
292,Ж,25,ru,ru,базовый,высокий,базовый,восток,райцентр,внутренний мигрант,Риддер,"Риддер, Усть-Каменогорск",нет,гражданин,безработный,"Мать-одиночка, работавшая на износ → жалость к матери и подсознательное нежелание повторять её судьбу → избегает серьёзной работы и ответственности"
293,М,40,ru,ru,средний,высокий,высокий,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Попал в аварию, долго был прикован к постели → развил силу воли и научился ценить простые вещи (ходьба, природа) → занимается марафонами и триатлоном"
294,Ж,29,kk,kk,высокий,базовый,базовый,запад,аул,постоянное место жительства,аул возле Уральска,,есть,гражданин,работающий,"Её талант к пению не одобрялся в семье ('несерьёзно') → бросила музыку, но чувствует себя нереализованной → поёт в караоке, чтобы получить дозу признания"
295,М,21,ru,ru,средний,высокий,средний,юг,город,постоянное место жительства,Алматы,,есть,гражданин,студент,"Родители - 'вечные студенты', атмосфера творчества и безалаберности → отсутствие дисциплины и неумение планировать → часто срывает дедлайны, живёт в 'творческом беспорядке'"
296,Ж,51,kk,en,высокий,базовый,средний,юг,Тараз,постоянное место жительства,Тараз,,нет,временно,работающая,"Внутренняя тревожность, выросшая из травматичного рождения (реанимация) и усугубленная опытом жизни в приемной семье и школьным буллингом. Привычка брать на себя все обязанности как способ контроля над своей жизнью."
297,М,62,kk,en,высокий,базовый,средний,юг,Кызылорда,постоянное место жительства,Кызылорда,,есть,временно,пенсионер,"Чрезмерная зависимость от близких как следствие гиперопеки в детстве (из-за слабого здоровья) и нереализованности в профессии, что привело к перекладыванию ответственности на других."
298,М,41,kk,kk,высокий,средний,средний,юг,Алматы,внутренний мигрант,Алматы,из Балхаш в Алматы,есть,гражданин,работающий,"Перегрузка обязанностями и трудоголизм как способ заглушить чувство вины перед семьей, которую он оставил ради карьеры в большом городе."
299,М,62,kk,kk,высокий,средний,базовый,юг,Кызылорда,внутренний мигрант,Кызылорда,из Балхаш в Кызылорда,нет,временно,пенсионер,"Зависимость от чужого мнения, сформированная в детстве, где любовь и одобрение родителей нужно было постоянно 'заслуживать' хорошим поведением и успехами."
300,М,26,kk,ru,высокий,средний,средний,юг,Кызылорда,внешний мигрант,Кызылорда,из ближнего зарубежья,нет,гражданин,работающий,Стремление к материальному благополучию и статусу как способ компенсировать бедное детство и доказать свою состоятельность окружающим.
301,М,42,kk,kk,высокий,средний,средний,юг,Шымкент,номад (не резидент РК),Шымкент,,нет,временно,работающий,"Постоянное беспокойство о будущем и страх нестабильности, заложенные финансовыми трудностями матери во время беременности и укрепившиеся из-за жизни в приемной семье."
302,Ж,42,kk,ru,высокий,средний,базовый,юг,Шымкент,внутренний мигрант,Шымкент,из Астана в Шымкент,есть,гражданин,работающая,"Излишняя самокритика и перфекционизм, выросшие из ощущения, что она 'недостаточно хороша' для матери, которая тяжело переживала послеродовую депрессию."
303,М,22,kk,ru,высокий,средний,средний,юг,Шымкент,внутренний мигрант,Шымкент,из Актау в Шымкент,нет,гражданин,студент,"Неуверенность в себе и страх принимать решения, сформированные гиперопекающей матерью, которая видела в ней 'единственный смысл жизни' после развода."
304,Ж,55,kk,en,высокий,средний,высокий,юг,Кызылорда,постоянное место жительства,Кызылорда,,есть,гражданин,работающая,"Стремление к 'идеальной картинке' в жизни и соцсетях как способ компенсировать внутреннюю пустоту и отсутствие глубоких эмоциональных связей, идущее из детства в казенном учреждении."
305,Ж,19,kk,ru,высокий,средний,средний,юг,Алматы,постоянное место жительства,Алматы,,есть,гражданин,студент,Эмоциональная отстраненность и трудоголизм как защитная реакция на раннюю потерю матери и необходимость быстро повзрослеть.
306,М,40,kk,kk,высокий,высокий,базовый,запад,Актау,номад (не резидент РК),Актау,,нет,гражданин,работающий,"Страх одиночества и привычка 'растворяться' в партнере, сформированные опытом жизни в приюте и подсознательным желанием обрести семью любой ценой."
307,М,53,kk,kk,высокий,высокий,базовый,запад,Кульсары,постоянное место жительства,Кульсары,,нет,временно,работающий,"Потребность в постоянном одобрении и похвале, выросшая из недостатка отцовского внимания в детстве (отец ушел из семьи)."
308,М,48,kk,kk,высокий,высокий,высокий,запад,Актобе,внешний мигрант,Актобе,из ближнего зарубежья,есть,гражданин,работающий,"Недоверие к людям и ожидание подвоха, сформированные предательством близких в юности (передача в приют) и укрепившиеся во время службы в армии."
309,М,57,kk,kk,высокий,высокий,средний,запад,Уральск,внешний мигрант,Уральск,из ближнего зарубежья,нет,временно,работающий,"Неумение говорить 'нет' и жертвенность, выросшие из роли старшего ребенка, на которого была возложена забота о младших после смерти матери."
310,Ж,61,kk,kk,высокий,высокий,высокий,запад,Атырау,номад (не резидент РК),Атырау,,нет,гражданин,пенсионерка,"Инфантилизм и избегание ответственности, сформированные гиперопекой богатых родителей, которые с детства решали за него все проблемы."
311,Ж,25,kk,en,высокий,высокий,средний,запад,Актобе,постоянное место жительства,Актобе,,есть,временно,работающая,"Синдром выжившего' и чувство вины, сформированные после тяжелой болезни в детстве, что привело к желанию 'прожить жизнь за двоих'."
312,Ж,23,kk,ru,высокий,высокий,средний,запад,Уральск,постоянное место жительства,Уральск,,нет,гражданин,работающая,"Агрессивность и импульсивность как защитная реакция на мир, сформированная в результате жестокого обращения в детстве и жизни 'по законам улицы'."
313,Ж,53,kk,en,высокий,высокий,средний,запад,Актобе,внутренний мигрант,Актобе,из Кызылорда в Актобе,есть,гражданин,работающая,"Перфекционизм и страх неудачи, выросшие из постоянного сравнения с более успешной сестрой в детстве."
314,М,61,kk,kk,высокий,высокий,базовый,запад,Актау,внешний мигрант,Актау,из ближнего зарубежья,нет,временно,пенсионер,"Склонность к риску и адреналиновая зависимость как способ почувствовать себя живым и значимым, компенсируя недостаток внимания в многодетной семье."
315,Ж,56,kk,en,высокий,высокий,средний,запад,Актобе,номад (не резидент РК),Актобе,,нет,гражданин,работающая,"Неуверенность в себе и страх проявлять инициативу, сформированные властной матерью, которая подавляла любые попытки самостоятельности."
316,М,47,ru,en,базовый,высокий,высокий,север,Кокшетау,постоянное место жительства,Кокшетау,,нет,временно,работающий,"Привычка 'быть незаметным' и избегать конфликтов, сформированная в семье с отцом-алкоголиком, где любое внимание могло спровоцировать агрессию."
317,Ж,43,kk,ru,средний,высокий,высокий,север,Костанай,постоянное место жительства,Костанай,,есть,гражданин,работающая,"Эмоциональная зависимость от партнера и страх одиночества, выросшие из недостатка материнской любви (мать была поглощена карьерой)."
318,Ж,30,ru,kk,базовый,высокий,высокий,север,Кокшетау,постоянное место жительства,Кокшетау,,есть,временно,работающая,"Потребность в контроле и порядке как способ справиться с внутренней тревогой, заложенной хаотичным воспитанием и частыми переездами."
319,М,48,kk,kk,средний,высокий,средний,север,Петропавловск,постоянное место жительства,Петропавловск,,есть,гражданин,работающий,"Стремление к созданию 'идеальной' семьи как способ компенсировать собственное несчастливое детство, проведенное в детском доме."
320,М,38,ru,ru,базовый,высокий,высокий,север,Петропавловск,номад (не резидент РК),Петропавловск,,есть,временно,работающий,"Заниженная самооценка и привычка угождать другим, сформированные в ответ на постоянную критику и обесценивание со стороны отца."
321,Ж,46,ru,ru,базовый,высокий,базовый,север,Кокшетау,внешний мигрант,Кокшетау,из ближнего зарубежья,нет,временно,работающая,"Недоверие к мужчинам и страх близких отношений, сформированные после тяжелого развода родителей и предательства отца."
322,Ж,59,kk,en,средний,высокий,базовый,север,Петропавловск,внешний мигрант,Петропавловск,из ближнего зарубежья,есть,гражданин,работающая,"Синдром спасателя' и привычка вступать в отношения с 'проблемными' партнерами, выросшие из необходимости заботиться о больной матери в детстве."
323,Ж,47,ru,en,базовый,высокий,базовый,север,Петропавловск,номад (не резидент РК),Петропавловск,,нет,гражданин,работающая,"Трудоголизм и неумение отдыхать, сформированные бедностью в детстве и необходимостью рано начать работать, чтобы помогать семье."
324,М,50,kk,ru,средний,высокий,средний,север,Костанай,внешний мигрант,Костанай,из ближнего зарубежья,нет,временно,работающий,"Инфантилизм и финансовая безграмотность, выросшие из воспитания в обеспеченной семье, где деньги 'всегда были'."
325,М,51,kk,kk,средний,высокий,высокий,север,Петропавловск,внешний мигрант,Петропавловск,из ближнего зарубежья,есть,временно,работающий,"Склонность к саморазрушению (вредные привычки, рискованное поведение) как способ заглушить чувство вины за трагедию в прошлом (смерть сестры)."
326,Ж,69,kk,ru,высокий,средний,средний,восток,Семей,постоянное место жительства,Семей,,нет,временно,пенсионерка,"Пассивность и безынициативность, сформированные гиперопекающей матерью, которая не давала ему совершать собственные ошибки."
327,М,58,kk,kk,высокий,средний,высокий,восток,Усть-Каменогорск,внешний мигрант,Усть-Каменогорск,из ближнего зарубежья,нет,временно,работающий,"Страх бедности и привычка создавать 'финансовую подушку', сформированные опытом выживания семьи в 90-е."
328,Ж,38,kk,ru,высокий,средний,высокий,восток,Зыряновск,внутренний мигрант,Зыряновск,из Тараз в Зыряновск,нет,временно,работающая,"Эмоциональная закрытость и неумение говорить о чувствах, выросшие в семье, где проявление эмоций считалось слабостью."
329,М,58,kk,en,высокий,средний,средний,восток,Семей,внешний мигрант,Семей,из ближнего зарубежья,нет,временно,работающий,"Потребность в уединении и дискомфорт в больших компаниях, сформированные воспитанием в изоляции от сверстников из-за слабого здоровья."
330,М,48,kk,en,высокий,средний,высокий,восток,Аягоз,номад (не резидент РК),Аягоз,,есть,временно,работающий,"Привычка 'казаться, а не быть' и создавать 'успешный' образ, сформированная как способ заслужить любовь и признание строгих родителей."
331,Ж,45,kk,ru,высокий,средний,высокий,восток,Аягоз,постоянное место жительства,Аягоз,,нет,временно,работающая,"Обесценивание собственных достижений и синдром самозванца, выросшие из постоянного сравнения с 'гениальным' отцом-ученым."
332,М,34,kk,en,высокий,средний,высокий,восток,Риддер,внутренний мигрант,Риддер,из Рудный в Риддер,нет,временно,работающий,"Неуверенность в медицинской системе и склонность к самолечению, сформированные негативным опытом в детстве (врачебная ошибка)."
333,М,62,kk,kk,высокий,средний,средний,восток,Усть-Каменогорск,внешний мигрант,Усть-Каменогорск,из ближнего зарубежья,есть,временно,пенсионер,"Трудности в браке и страх ответственности, выросшие из примера родителей, которые постоянно конфликтовали."
334,Ж,29,kk,ru,высокий,средний,базовый,восток,Зыряновск,внутренний мигрант,Зыряновск,из Семей в Зыряновск,нет,временно,работающая,"Боязнь повторения прошлых ошибок и перфекционизм, сформированные после серьезной травмы в юности, которая чуть не стоила ему карьеры."
335,М,49,kk,ru,высокий,средний,высокий,восток,Усть-Каменогорск,постоянное место жительства,Усть-Каменогорск,,нет,временно,работающий,Переживание одиночества и трудоголизм как способ избежать близких отношений после болезненного разрыва в прошлом.
336,Ж,32,kk,ru,высокий,средний,базовый,центр,Балхаш,внутренний мигрант,Балхаш,из Астана в Балхаш,есть,гражданин,работающая,"Страх ошибок и гиперответственность, сформированные в ответ на высокие ожидания родителей, которые видели в ней 'свою единственную надежду'."
337,Ж,34,kk,kk,высокий,средний,базовый,центр,Караганда,номад (не резидент РК),Караганда,,есть,гражданин,работающая,"Перфекционистский контроль и неумение делегировать, выросшие из необходимости все делать самой после ранней смерти матери."
338,М,33,kk,ru,высокий,средний,высокий,центр,Астана,внешний мигрант,Астана,из ближнего зарубежья,нет,гражданин,работающий,"Чрезмерная щедрость и неумение говорить 'нет', сформированные чувством вины перед семьей, оставшейся в другой стране."
339,Ж,37,kk,ru,средний,средний,средний,центр,Караганда,внутренний мигрант,Караганда,из Актау в Караганда,есть,временно,работающая,"Боязнь одиночества и склонность к созависимым отношениям, выросшие из недостатка внимания в многодетной семье."
340,М,38,kk,en,высокий,средний,высокий,центр,Караганда,внешний мигрант,Караганда,из ближнего зарубежья,есть,временно,работающий,"Излишняя прямолинейность и неумение идти на компромиссы, сформированные в спортивной школе, где ценилась только победа."
341,Ж,22,kk,en,высокий,средний,высокий,центр,Астана,внутренний мигрант,Астана,из Кокшетау в Астана,есть,временно,студент,Нетерпимость к рутине и постоянный поиск новых впечатлений как способ сбежать от скуки и серости маленького города.
342,М,32,kk,kk,средний,высокий,средний,центр,Караганда,внешний мигрант,Караганда,из ближнего зарубежья,нет,гражданин,работающий,"Привычка 'быть сильной' и не показывать слабость, сформированная в ответ на частые переезды и необходимость постоянно адаптироваться к новой среде."
343,Ж,47,kk,en,высокий,высокий,средний,центр,Жезказган,номад (не резидент РК),Жезказган,,нет,гражданин,работающая,"Тревога и страх перед неопределенностью, сформированные 'тепличным' воспитанием и первым серьезным столкновением с реальностью после миграции."
344,М,45,kk,kk,средний,средний,высокий,центр,Темиртау,номад (не резидент РК),Темиртау,,нет,гражданин,работающий,"Чувство нереализованных амбиций в 'реальной' жизни, сформированное детским эскапизмом в виртуальный мир, который стал и профессией, и убежищем от социальных трудностей."
345,Ж,51,kk,ru,средний,средний,базовый,центр,Астана,постоянное место жительства,Астана,,есть,временно,работающая,"Эмоциональная зависимость от партнера как способ компенсировать внутреннюю неуверенность, сформированную гиперопекой и необходимостью постоянно оправдывать ожидания родителей."
346,М,35,ru,ru,средний,высокий,базовый,север,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Высокие ожидания родителей привели к перфекционизму и страху совершить ошибку, что мешает карьерному росту."
347,Ж,28,kk,kk,высокий,средний,базовый,юг,город,внутренний мигрант,Шымкент,"Шымкент, Алматы",есть,гражданин,работающий,Ранняя ответственность за младших братьев и сестер в ауле сформировала гиперответственность и трудности с делегированием задач на работе.
348,М,45,ru,ru,базовый,высокий,базовый,запад,город,постоянное место жительства,Актау,,есть,гражданин,работающий,"Трудное детство в 90-е и необходимость рано начать работать создали установку 'рассчитывать только на себя', что привело к проблемам с доверием."
349,Ж,22,оба,ru,высокий,высокий,средний,центр,город,постоянное место жительства,Караганда,,есть,гражданин,студент,"Переезд семьи из аула в город ради ее образования вызвал чувство долга, что приводит к стрессу и тревоге по поводу будущей карьеры."
350,М,50,kk,kk,высокий,базовый,базовый,восток,аул,постоянное место жительства,аул,,есть,гражданин,работающий,"Отсутствие доступа к качественному образованию в детстве породило комплекс неполноценности, который он компенсирует через тяжелый физический труд."
351,Ж,31,ru,ru,средний,высокий,высокий,север,город,внешний мигрант,Астана,,нет,ПМЖ,декрет,"Опыт иммиграции и адаптации к новой культурной среде развил гибкость мышления, но также и постоянное чувство 'чужой' среди своих."
352,М,19,kk,kk,высокий,средний,средний,юг,город,постоянное место жительства,Алматы,,есть,гражданин,студент,Буллинг в элитной школе из-за простого происхождения привел к заниженной самооценке и поиску одобрения через дорогие бренды.
353,Ж,65,ru,ru,базовый,высокий,базовый,центр,город,постоянное место жительства,Темиртау,,есть,гражданин,пенсионер,Работа на вредном производстве и последующие проблемы со здоровьем сформировали ипохондрию и привычку постоянно искать у себя симптомы болезней.
354,М,29,оба,ru,высокий,высокий,средний,запад,город,постоянное место жительства,Атырау,,есть,гражданин,работающий,Работа вахтовым методом привела к трудностям в поддержании долгосрочных отношений и ощущению оторванности от семейной жизни.
355,Ж,38,kk,kk,высокий,средний,базовый,восток,райцентр,постоянное место жительства,райцентр,,есть,гражданин,безработный,"Потеря работы из-за сокращения на градообразующем предприятии вызвала апатию и страх перед будущим, что мешает активному поиску новой работы."
356,М,16,ru,ru,средний,высокий,средний,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,школьник,Конфликты родителей и их последующий развод привели к уходу в мир компьютерных игр как способу избежать болезненной реальности.
357,Ж,41,kk,ru,высокий,средний,базовый,юг,город,постоянное место жительства,Тараз,,есть,гражданин,работающий,"Будучи старшей дочерью, столкнулась с давлением 'уят болады', что привело к подавлению собственных желаний в угоду мнению родственников."
358,М,33,ru,ru,базовый,высокий,средний,центр,город,номад (не резидент РК),,,нет,гражданин,работающий,Частые переезды в детстве из-за работы отца-военного сформировали неспособность заводить долгосрочные дружеские связи и 'синдром чемодана'.
359,Ж,26,оба,kk,высокий,высокий,высокий,юг,город,постоянное место жительства,Алматы,,есть,гражданин,работающий,Обучение за границей по 'Болашак' вызвало культурный шок по возвращении и трудности с адаптацией к местному менталитету и рабочим процессам.
360,М,58,kk,kk,высокий,средний,базовый,запад,райцентр,постоянное место жительства,райцентр,,есть,гражданин,работающий,"Будучи свидетелем распада СССР и нестабильности 90-х, он развил глубокое недоверие к финансовым институтам и предпочитает хранить сбережения 'под матрасом'."
361,Ж,29,kk,kk,высокий,средний,базовый,юг,город,внутренний мигрант,Шымкент,село Сарыагаш -> Шымкент,есть,гражданин,декрет,"Давление со стороны родственников ('уят болады') сформировало привычку всегда ставить интересы семьи выше собственных, что привело к отказу от карьеры."
362,М,42,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Костанай,,есть,гражданин,работающий,"Воспитание в строгой советской семье привело к неумению выражать эмоции и поддерживать близкие отношения, что компенсируется трудоголизмом."
363,М,38,kk,ru,высокий,средний,базовый,запад,город,постоянное место жительства,Атырау,,есть,гражданин,работающий,"Ранняя потеря отца и необходимость помогать семье сформировали гиперответственность и страх финансовой нестабильности, что заставляет его работать на износ."
364,Ж,21,оба,ru,высокий,высокий,средний,центр,город,внутренний мигрант,Астана,Караганда -> Астана,нет,гражданин,студент,Переезд в столицу и жизнь в отрыве от родительской опеки привели к поиску одобрения в социальных сетях и зависимости от чужого мнения.
365,М,55,kk,kk,высокий,базовый,базовый,восток,аул,постоянное место жительства,село Катон-Карагай,,есть,гражданин,работающий,"Привязанность к родной земле и нежелание покидать аул, несмотря на уговоры детей, сформировали упрямство и недоверие к городской жизни."
366,Ж,33,ru,ru,средний,высокий,высокий,центр,город,внешний мигрант,Астана,Россия -> Астана,нет,ПМЖ,работающий,"Опыт релокации и адаптации в новой стране развил самостоятельность, но и обострил чувство одиночества и тоску по 'своим'."
367,М,25,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Алматы,,есть,гражданин,работающий,"Воспитание в религиозной семье сформировало строгие моральные принципы, которые часто вступают в конфликт с соблазнами большого города."
368,Ж,48,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,безработный,Сокращение на градообразующем предприятии в 90-е и невозможность найти работу по специальности привели к апатии и выученной беспомощности.
369,М,31,оба,ru,средний,высокий,базовый,запад,город,номад (не резидент РК),Актау,"Актау, Атырау",нет,временно,работающий,"Работа в международной компании и постоянные командировки стерли чувство 'дома', превратив его жизнь в череду отелей и аэропортов."
370,Ж,23,kk,kk,высокий,средний,базовый,восток,райцентр,внутренний мигрант,Усть-Каменогорск,райцентр -> Усть-Каменогорск,есть,гражданин,студент,"Мечта вырваться из бесперспективного райцентра стала главной движущей силой, что привело к перфекционизму в учебе и страху вернуться обратно."
371,М,36,ru,ru,средний,высокий,средний,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Карьерная гонка в госаппарате и постоянный стресс привели к цинизму и эмоциональному выгоранию, которое он пытается компенсировать дорогими покупками."
